model	rmsd_full	rmsd_framework	rmsd_h1	rmsd_h2	rmsd_h3	rmsd_l1	rmsd_l2	rmsd_l3	pdb
7s11_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_002	0.647	1.469	1.279	1.188	4.526	1.759	1.503	1.215	7s11
7s11_unrelaxed_rank_011_alphafold2_multimer_v3_model_1_seed_000	0.658	1.43	1.087	1.104	3.995	1.556	1.416	1.331	7s11
7s11_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_003	0.611	1.356	1.101	1.253	4.091	1.394	1.479	1.315	7s11
7s11_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_004	0.621	1.451	1.141	1.14	4.206	1.474	1.532	1.363	7s11
7s11_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_004	0.603	1.52	1.277	1.307	3.951	1.555	1.687	1.445	7s11
7s11_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_004	0.628	1.328	1.189	1.062	4.192	1.505	1.42	1.16	7s11
7s11_unrelaxed_rank_007_alphafold2_multimer_v3_model_3_seed_002	0.619	1.455	1.189	1.13	4.197	1.554	1.561	1.398	7s11
7s11_unrelaxed_rank_024_alphafold2_multimer_v3_model_2_seed_004	0.655	1.512	1.33	1.237	3.801	1.733	1.558	1.334	7s11
7s11_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_000	0.615	1.298	1.028	1.044	3.93	1.369	1.402	1.216	7s11
7s11_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_003	0.652	1.433	1.121	0.986	3.929	1.629	1.406	1.275	7s11
7s11_unrelaxed_rank_017_alphafold2_multimer_v3_model_2_seed_001	0.645	1.471	1.2	1.072	4.368	1.758	1.484	1.231	7s11
7s11_unrelaxed_rank_012_alphafold2_multimer_v3_model_2_seed_000	0.645	1.42	1.167	1.113	4.061	1.67	1.425	1.235	7s11
7s11_unrelaxed_rank_018_alphafold2_multimer_v3_model_4_seed_002	0.618	1.282	1.079	1.053	4.116	1.378	1.31	1.142	7s11
7s11_unrelaxed_rank_023_alphafold2_multimer_v3_model_5_seed_000	0.613	1.443	1.143	1.412	3.697	1.356	1.555	1.568	7s11
7s11_unrelaxed_rank_021_alphafold2_multimer_v3_model_1_seed_001	0.655	1.367	1.033	1.015	1.934	1.465	1.229	1.124	7s11
7s11_unrelaxed_rank_022_alphafold2_multimer_v3_model_1_seed_002	0.678	1.579	1.273	1.346	3.861	1.635	1.619	1.482	7s11
7s11_unrelaxed_rank_014_alphafold2_multimer_v3_model_3_seed_001	0.698	1.415	1.077	1.006	4.207	1.441	2.435	1.368	7s11
7s11_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_003	0.641	1.383	1.082	1.064	4.518	1.653	1.405	1.196	7s11
7s11_unrelaxed_rank_006_alphafold2_multimer_v3_model_5_seed_001	0.617	1.433	1.064	1.066	4.388	1.381	1.583	1.375	7s11
7s11_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_003	0.619	1.422	1.084	1.134	3.913	1.445	1.569	1.32	7s11
7s11_unrelaxed_rank_003_alphafold2_multimer_v3_model_4_seed_001	0.627	1.312	1.117	1.004	4.083	1.457	1.397	1.2	7s11
7s11_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_004	0.65	1.447	1.109	1.131	3.925	1.477	1.697	1.32	7s11
7s11_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_000	0.628	1.806	1.634	1.875	3.952	1.801	2.083	1.962	7s11
7s13_unrelaxed_rank_009_alphafold2_multimer_v3_model_1_seed_000	0.4	0.624	0.465	0.618	1.134	0.668	0.519	0.593	7s13
7s13_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000	0.383	0.626	0.49	0.811	1.048	0.741	0.532	1.081	7s13
7s13_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_000	0.673	0.632	0.492	0.409	1.327	0.449	0.388	1.272	7s13
7s13_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_002	0.75	0.636	0.473	0.396	2.22	0.861	0.387	1.53	7s13
7s13_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_001	0.681	0.648	0.442	0.454	0.774	0.591	0.382	1.22	7s13
7s13_unrelaxed_rank_013_alphafold2_multimer_v3_model_2_seed_004	0.403	0.721	0.549	0.845	0.714	0.929	0.53	0.948	7s13
7s13_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_003	0.57	0.692	0.468	0.596	0.962	0.667	0.487	0.629	7s13
7s13_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_003	0.399	0.631	0.463	0.758	1.02	0.755	0.515	0.819	7s13
7s13_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_003	0.706	0.702	0.472	0.52	0.792	0.581	0.337	1.204	7s13
7s13_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_002	0.574	0.685	0.443	0.543	0.631	0.622	0.486	0.485	7s13
7s13_unrelaxed_rank_024_alphafold2_multimer_v3_model_5_seed_000	0.729	0.702	0.595	0.475	1.919	0.424	0.271	1.524	7s13
7s13_unrelaxed_rank_015_alphafold2_multimer_v3_model_2_seed_000	0.552	0.79	0.556	0.868	1.031	0.918	0.564	1.18	7s13
7s13_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_004	0.402	0.624	0.517	0.796	1.129	0.682	0.512	0.798	7s13
7s13_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_002	0.575	0.697	0.507	0.775	1.009	0.728	0.506	0.806	7s13
7s13_unrelaxed_rank_023_alphafold2_multimer_v3_model_2_seed_001	0.592	0.671	0.467	0.561	0.992	0.638	0.385	0.682	7s13
7s13_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_004	0.659	0.621	0.534	0.404	2.041	0.458	0.354	1.261	7s13
7s13_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_003	0.749	0.621	0.475	0.409	1.847	0.836	0.394	1.639	7s13
7s13_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_004	0.565	0.701	0.468	0.663	0.983	0.635	0.502	0.521	7s13
7s13_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_002	0.696	0.699	0.456	0.507	0.797	0.605	0.418	1.043	7s13
7s13_unrelaxed_rank_014_alphafold2_multimer_v3_model_2_seed_003	0.41	0.698	0.538	0.796	0.84	0.945	0.557	0.982	7s13
7s13_unrelaxed_rank_025_alphafold2_multimer_v3_model_5_seed_004	0.698	0.715	0.549	0.569	1.093	0.426	0.273	1.272	7s13
7s13_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_002	0.582	0.838	0.569	0.799	0.873	1.072	0.547	0.886	7s13
7s13_unrelaxed_rank_003_alphafold2_multimer_v3_model_4_seed_001	0.577	0.719	0.544	0.85	1.069	0.714	0.541	0.867	7s13
7s13_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_001	0.573	0.688	0.479	0.519	0.752	0.488	0.44	0.426	7s13
7s13_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_001	0.678	0.707	0.461	0.54	0.809	0.51	0.345	1.041	7s13
7seg_unrelaxed_rank_014_alphafold2_multimer_v3_model_4_seed_003	0.539	0.539	0.621	0.59	1.484	0.429	0.296	0.593	7seg
7seg_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000	0.55	0.534	0.561	0.635	1.487	0.417	0.351	0.609	7seg
7seg_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_003	0.55	0.539	0.516	0.616	1.517	0.43	0.334	0.625	7seg
7seg_unrelaxed_rank_011_alphafold2_multimer_v3_model_4_seed_000	0.541	0.519	0.58	0.584	1.537	0.381	0.273	0.579	7seg
7seg_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_001	0.545	0.549	0.445	0.542	2.192	0.425	0.299	0.531	7seg
7seg_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_002	0.53	0.593	0.61	1.882	1.446	0.596	0.408	0.767	7seg
7seg_unrelaxed_rank_006_alphafold2_multimer_v3_model_2_seed_004	0.555	0.564	0.623	1.211	2.054	0.45	0.332	0.642	7seg
7seg_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_002	0.529	0.551	0.563	0.642	1.668	0.469	0.377	0.744	7seg
7seg_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_003	0.537	0.511	0.469	0.523	2.101	0.47	0.273	0.643	7seg
7seg_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_004	0.551	0.555	0.586	0.64	1.582	0.434	0.339	0.624	7seg
7seg_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_002	0.546	0.561	0.553	0.642	1.544	0.566	0.326	0.59	7seg
7seg_unrelaxed_rank_017_alphafold2_multimer_v3_model_4_seed_002	0.544	0.556	0.618	1.011	1.557	0.433	0.328	0.732	7seg
7seg_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_004	0.533	0.535	0.564	0.594	1.67	0.453	0.302	0.548	7seg
7seg_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_000	0.527	0.537	0.506	1.442	1.541	0.502	0.349	0.597	7seg
7seg_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_004	0.536	0.533	0.594	0.591	1.486	0.412	0.278	0.623	7seg
7seg_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_001	0.537	0.536	0.578	0.6	1.602	0.448	0.325	0.549	7seg
7seg_unrelaxed_rank_008_alphafold2_multimer_v3_model_5_seed_000	0.579	0.538	0.585	0.574	1.569	0.516	0.332	0.783	7seg
7seg_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_004	0.526	0.56	0.553	1.764	1.516	0.57	0.407	0.73	7seg
7seg_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_002	0.554	0.584	0.555	1.207	1.457	0.454	0.395	0.788	7seg
7seg_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_000	0.535	0.552	0.639	0.703	1.503	0.44	0.363	0.698	7seg
7seg_unrelaxed_rank_016_alphafold2_multimer_v3_model_4_seed_001	0.541	0.529	0.572	0.572	1.44	0.382	0.276	0.58	7seg
7seg_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_001	0.546	0.549	0.515	0.591	1.52	0.441	0.336	0.586	7seg
7seg_unrelaxed_rank_022_alphafold2_multimer_v3_model_5_seed_003	0.579	0.552	0.533	0.588	1.473	0.52	0.327	0.819	7seg
7seg_unrelaxed_rank_013_alphafold2_multimer_v3_model_2_seed_003	0.527	0.56	0.573	0.655	1.628	0.463	0.377	0.763	7seg
7seg_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_001	0.532	0.544	0.49	0.572	2.115	0.502	0.305	0.684	7seg
7sem_unrelaxed_rank_024_alphafold2_multimer_v3_model_5_seed_001	0.666	0.434	0.524	0.295	1.559	1.712	0.456	0.624	7sem
7sem_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_000	0.632	0.413	0.503	0.292	2.479	1.623	0.48	0.679	7sem
7sem_unrelaxed_rank_015_alphafold2_multimer_v3_model_4_seed_001	0.817	0.559	0.455	0.285	2.515	1.729	0.453	0.636	7sem
7sem_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_003	0.717	0.396	0.365	0.264	2.371	1.421	0.513	1.498	7sem
7sem_unrelaxed_rank_008_alphafold2_multimer_v3_model_3_seed_004	0.763	0.403	0.346	0.251	2.424	0.677	0.523	2.073	7sem
7sem_unrelaxed_rank_013_alphafold2_multimer_v3_model_2_seed_000	0.421	0.38	0.347	0.285	2.038	0.661	0.452	0.432	7sem
7sem_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_002	0.785	0.421	0.414	0.312	2.595	0.776	0.479	2.071	7sem
7sem_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_002	0.597	0.42	0.409	0.258	2.143	1.411	0.465	0.65	7sem
7sem_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_003	0.739	0.619	0.493	0.284	2.035	0.754	0.543	0.65	7sem
7sem_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_002	0.8	0.414	0.445	0.294	2.171	1.306	0.414	2.005	7sem
7sem_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_003	0.457	0.488	0.404	0.325	2.637	0.804	0.559	0.683	7sem
7sem_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_001	0.665	0.485	0.468	0.356	2.041	1.769	0.508	0.634	7sem
7sem_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_002	0.826	0.432	0.427	0.346	2.606	0.875	0.537	2.206	7sem
7sem_unrelaxed_rank_016_alphafold2_multimer_v3_model_1_seed_000	0.624	0.426	0.428	0.311	2.33	1.643	0.486	0.536	7sem
7sem_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_004	0.718	0.413	0.498	0.275	1.505	0.834	0.477	1.844	7sem
7sem_unrelaxed_rank_025_alphafold2_multimer_v3_model_5_seed_003	0.523	0.428	0.514	0.312	1.684	0.963	0.463	0.713	7sem
7sem_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_004	0.775	0.435	0.427	0.314	2.318	0.791	0.496	2.023	7sem
7sem_unrelaxed_rank_014_alphafold2_multimer_v3_model_3_seed_001	0.763	0.595	0.384	0.24	2.419	1.191	0.541	0.548	7sem
7sem_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_001	0.637	0.407	0.448	0.316	2.146	1.73	0.416	0.428	7sem
7sem_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_004	0.754	0.42	0.423	0.314	2.382	0.699	0.5	1.968	7sem
7sem_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_002	0.814	0.442	0.387	0.356	3.128	0.8	0.564	2.127	7sem
7sem_unrelaxed_rank_023_alphafold2_multimer_v3_model_5_seed_000	0.526	0.415	0.492	0.292	1.696	0.93	0.459	0.747	7sem
7sem_unrelaxed_rank_012_alphafold2_multimer_v3_model_3_seed_000	0.745	0.611	0.455	0.258	1.907	0.908	0.548	0.579	7sem
7sem_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_004	0.453	0.472	0.439	0.338	2.762	0.751	0.564	0.642	7sem
7sem_unrelaxed_rank_017_alphafold2_multimer_v3_model_2_seed_003	0.443	0.484	0.425	0.31	1.958	0.765	0.507	0.49	7sem
7shu_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_001	0.433	0.63	1.347	1.016	2.247	0.811	0.494	0.354	7shu
7shu_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_000	0.423	0.657	0.782	0.857	2.257	0.631	0.484	0.344	7shu
7shu_unrelaxed_rank_003_alphafold2_multimer_v3_model_4_seed_003	0.422	0.685	1.08	0.855	2.245	0.731	0.516	0.442	7shu
7shu_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_001	0.46	0.716	1.441	0.862	2.282	0.944	0.545	0.545	7shu
7shu_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_002	0.394	0.549	0.896	0.771	2.046	0.734	0.514	0.391	7shu
7shu_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_004	0.4	0.595	1.278	0.904	1.848	0.597	0.452	0.298	7shu
7shu_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_000	0.399	0.527	1.241	0.607	1.571	0.665	0.532	0.489	7shu
7shu_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_004	0.438	0.631	1.223	0.996	2.309	0.774	0.517	0.384	7shu
7shu_unrelaxed_rank_008_alphafold2_multimer_v3_model_1_seed_004	0.412	0.581	1.214	0.845	2.029	0.758	0.537	0.435	7shu
7shu_unrelaxed_rank_023_alphafold2_multimer_v3_model_2_seed_001	0.436	0.559	1.322	0.691	1.616	0.884	0.53	0.559	7shu
7shu_unrelaxed_rank_010_alphafold2_multimer_v3_model_1_seed_003	0.415	0.562	0.698	0.628	1.819	0.728	0.543	0.422	7shu
7shu_unrelaxed_rank_017_alphafold2_multimer_v3_model_2_seed_002	0.405	0.523	1.254	0.66	1.438	0.645	0.523	0.405	7shu
7shu_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_000	0.401	0.628	1.33	0.952	2.458	0.557	0.422	0.407	7shu
7shu_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_001	0.473	0.624	1.086	0.854	1.779	1.137	0.582	0.574	7shu
7shu_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_004	0.409	0.697	0.993	0.809	2.044	0.635	0.499	0.438	7shu
7shu_unrelaxed_rank_015_alphafold2_multimer_v3_model_2_seed_004	0.405	0.556	0.985	0.795	1.639	0.692	0.569	0.409	7shu
7shu_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_003	0.439	0.579	1.01	0.986	2.24	0.787	0.566	0.334	7shu
7shu_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_000	0.396	0.683	1.409	0.85	2.286	0.58	0.44	0.362	7shu
7shu_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_002	0.403	0.606	0.868	0.91	2.222	0.599	0.475	0.33	7shu
7shu_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_001	0.515	0.676	1.625	1.12	2.55	1.29	0.644	0.507	7shu
7shu_unrelaxed_rank_009_alphafold2_multimer_v3_model_1_seed_000	0.415	0.584	1.309	0.745	2.043	0.865	0.549	0.419	7shu
7shu_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_002	0.384	0.589	1.296	0.881	2.032	0.586	0.428	0.298	7shu
7shu_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_002	0.397	0.679	1.097	0.76	2.336	0.681	0.473	0.449	7shu
7shu_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_003	0.386	0.564	1.256	0.897	2.185	0.559	0.457	0.272	7shu
7shu_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_003	0.405	0.523	1.239	0.636	1.519	0.674	0.578	0.418	7shu
7shz_unrelaxed_rank_015_alphafold2_multimer_v3_model_2_seed_002	0.461	0.506	1.403	1.335	2.255	0.915	0.504	0.398	7shz
7shz_unrelaxed_rank_021_alphafold2_multimer_v3_model_2_seed_004	0.446	0.503	1.629	1.305	2.19	0.837	0.516	0.469	7shz
7shz_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_003	0.437	0.617	1.316	1.082	2.017	0.836	0.673	0.351	7shz
7shz_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_004	0.455	0.63	1.444	1.516	2.315	0.99	0.686	0.44	7shz
7shz_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	0.453	0.656	1.429	1.676	2.599	0.936	0.685	0.394	7shz
7shz_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_001	7.284	9.217	1.79	1.862	8.688	2.003	1.095	10.073	7shz
7shz_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_002	0.43	0.611	1.291	1.095	2.202	0.881	0.682	0.315	7shz
7shz_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_004	0.445	0.661	1.357	1.408	2.49	0.84	0.679	0.459	7shz
7shz_unrelaxed_rank_019_alphafold2_multimer_v3_model_2_seed_001	0.442	0.532	1.322	1.065	2.052	1.006	0.53	0.479	7shz
7shz_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_003	0.441	0.572	1.546	1.194	1.808	0.87	0.6	0.357	7shz
7shz_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_001	0.424	0.573	1.238	1.539	2.416	0.718	0.603	0.337	7shz
7shz_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_004	0.451	0.616	1.031	1.12	2.277	0.943	0.627	0.366	7shz
7shz_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_004	0.425	0.58	1.325	1.628	2.396	0.7	0.595	0.374	7shz
7shz_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_002	0.441	0.561	1.585	1.509	2.226	0.9	0.597	0.305	7shz
7shz_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000	0.45	0.572	1.23	0.981	1.904	0.919	0.588	0.374	7shz
7shz_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_000	0.452	0.523	1.516	1.04	1.71	0.978	0.557	0.479	7shz
7shz_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_000	0.439	0.597	1.289	1.283	2.296	0.743	0.628	0.447	7shz
7shz_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_002	0.423	0.581	1.304	1.604	2.475	0.692	0.59	0.394	7shz
7shz_unrelaxed_rank_020_alphafold2_multimer_v3_model_4_seed_001	0.42	0.622	1.198	1.123	2.063	0.759	0.69	0.552	7shz
7shz_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_000	0.444	0.623	1.198	1.105	2.153	0.895	0.681	0.418	7shz
7shz_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_001	0.427	0.64	1.317	1.324	2.57	0.811	0.68	0.497	7shz
7shz_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_000	0.449	0.643	1.572	1.294	2.398	0.847	0.669	0.392	7shz
7shz_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_003	0.438	0.592	1.495	1.599	2.338	0.798	0.655	0.341	7shz
7shz_unrelaxed_rank_012_alphafold2_multimer_v3_model_3_seed_003	0.429	0.647	1.526	1.27	2.383	0.794	0.716	0.443	7shz
7shz_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_003	0.461	0.605	1.298	1.085	1.909	0.977	0.609	0.328	7shz
7si0_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_004	0.518	0.782	1.146	0.837	2.166	1.199	0.506	0.701	7si0
7si0_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_001	0.513	0.763	1.093	0.793	1.999	1.022	0.495	0.685	7si0
7si0_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_002	0.49	0.821	1.235	0.789	2.295	0.888	0.394	0.411	7si0
7si0_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_001	0.471	0.832	1.323	0.814	2.244	0.782	0.496	0.395	7si0
7si0_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_002	0.513	0.792	1.158	0.873	1.649	0.998	0.458	0.598	7si0
7si0_unrelaxed_rank_021_alphafold2_multimer_v3_model_2_seed_002	0.522	0.742	1.234	0.785	2.132	1.126	0.413	0.706	7si0
7si0_unrelaxed_rank_024_alphafold2_multimer_v3_model_5_seed_003	7.359	9.169	1.831	1.669	8.926	1.869	1.124	9.793	7si0
7si0_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_001	7.336	9.128	1.897	1.477	9.12	1.988	0.991	10.139	7si0
7si0_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_002	0.468	0.843	1.172	0.813	1.303	1.012	0.466	0.562	7si0
7si0_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_001	0.504	0.851	1.169	0.841	2.546	1.109	0.517	0.532	7si0
7si0_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_004	0.538	0.887	1.278	0.874	3.021	1.216	0.584	0.566	7si0
7si0_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_004	0.482	0.826	1.114	0.803	2.487	1.023	0.508	0.527	7si0
7si0_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_000	0.464	0.85	1.249	0.86	2.793	0.891	0.48	0.645	7si0
7si0_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_004	0.492	0.837	1.209	0.817	2.467	0.982	0.459	0.425	7si0
7si0_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_004	0.547	0.814	1.213	0.828	2.197	1.249	0.494	0.593	7si0
7si0_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_003	0.471	0.83	1.24	0.818	2.517	0.808	0.483	0.443	7si0
7si0_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_002	0.479	0.812	1.213	0.781	2.366	0.771	0.439	0.514	7si0
7si0_unrelaxed_rank_025_alphafold2_multimer_v3_model_4_seed_003	7.372	9.176	1.881	1.571	9.04	1.845	1.036	9.716	7si0
7si0_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_000	0.488	0.757	1.099	0.788	1.586	0.937	0.492	0.722	7si0
7si0_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_000	0.464	0.808	1.084	0.699	2.533	0.923	0.435	0.619	7si0
7si0_unrelaxed_rank_014_alphafold2_multimer_v3_model_2_seed_003	0.508	0.782	1.271	1.128	2.502	1.075	0.45	0.652	7si0
7si0_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_001	0.554	0.879	1.292	0.918	2.519	1.338	0.565	0.511	7si0
7si0_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_000	0.459	0.79	1.134	0.704	2.63	0.767	0.378	0.479	7si0
7si0_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000	0.478	0.764	1.107	0.756	2.016	0.945	0.485	0.579	7si0
7si0_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_003	7.32	9.124	1.889	1.494	8.901	2.094	1.064	10.285	7si0
7so9_unrelaxed_rank_024_alphafold2_multimer_v3_model_5_seed_002	0.421	0.524	0.481	0.529	4.845	0.285	0.376	0.358	7so9
7so9_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000	0.406	0.529	0.454	0.414	4.592	0.255	0.374	0.355	7so9
7so9_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_002	0.449	0.528	0.517	0.56	5.014	0.309	0.381	0.424	7so9
7so9_unrelaxed_rank_021_alphafold2_multimer_v3_model_2_seed_003	0.417	0.521	0.534	0.491	4.622	0.319	0.406	0.366	7so9
7so9_unrelaxed_rank_010_alphafold2_multimer_v3_model_5_seed_003	0.409	0.546	0.452	0.553	5.299	0.28	0.358	0.375	7so9
7so9_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_004	0.404	0.513	0.468	0.57	5.228	0.299	0.397	0.365	7so9
7so9_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_004	0.426	0.52	0.489	0.466	5.084	0.281	0.35	0.381	7so9
7so9_unrelaxed_rank_022_alphafold2_multimer_v3_model_5_seed_000	0.415	0.514	0.501	0.52	4.825	0.295	0.393	0.333	7so9
7so9_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_001	0.412	0.549	0.508	0.45	4.721	0.266	0.389	0.362	7so9
7so9_unrelaxed_rank_019_alphafold2_multimer_v3_model_2_seed_002	0.422	0.536	0.493	0.483	4.448	0.277	0.37	0.378	7so9
7so9_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_001	0.431	0.521	0.55	0.584	5.147	0.324	0.45	0.382	7so9
7so9_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_003	0.397	0.508	0.458	0.566	5.154	0.3	0.399	0.354	7so9
7so9_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_001	0.415	0.532	0.387	0.525	5.338	0.247	0.354	0.365	7so9
7so9_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_004	0.418	0.528	0.43	0.503	5.175	0.27	0.35	0.356	7so9
7so9_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_004	0.406	0.542	0.514	0.435	4.736	0.261	0.375	0.351	7so9
